"VERTICAL","Months in CALENDAR_DATE","M0#","LTV 0-360$","LTV 0-15$","LTV 0-30$","C0%","C1%","D0%","D1%","M1%","MOBILE%","PREPAID%","LOGIN RATE%","SEARCH RATE%","PDP VIEW RATE%"
"credco","20-Jan",108872.810918144,29.9588451324794,8.16825879805479,11.2747706679314,0.093565613,0.157813184,0.137345706,0.606329336,0.235857481,0.856701392,0.298284164,0.892733958,0,0
"credco","20-Feb",79250.941776272,33.957624508186,9.72787429555345,10.4742635075576,0.099383999,0.169345022,0.140930273,0.620513703,0.210141275,0.864971536,0.293258413,0.894320739,0,0
"credco","20-Mar",93347.6038803836,35.3220971366711,8.31446431911373,10.2351678544862,0.067081852,0.133065962,0.150184225,0.580934059,0.285999978,0.845066136,0.292988577,0.873237906,0,0
"credco","20-Apr",82291.2897325605,32.3461698169432,9.61603122318633,11.9839695994205,0.055546793,0.131177708,0.173094112,0.630599369,0.238222923,0.878601472,0.334016824,0.79384858,0,0
"credco","20-May",75166.729367882,36.9347109884356,10.874667266527,13.852776473525,0.050628002,0.12533777,0.204863891,0.68813801,0.186524219,0.910778623,0.360563451,0.89107536,0,0
"credco","20-Jun",114528.996522464,36.9263673442795,11.0192046054277,13.0797609892401,0.04906813,0.10917541,0.223441462,0.71235989,0.1784647,0.911573668,0.368741575,0.912327837,0,0
"credco","20-Jul",146086.08213195,29.4171007991523,9.69569288280039,13.7013622835066,0.056770154,0.117259886,0.185427304,0.714397525,0.168342589,0.923364765,0.379352242,0.92045768,0,0
"credco","20-Aug",112933.73809299,32.1005975102651,9.40244356494794,13.8066823641,0.063729836,0.12598821,0.151853037,0.692674679,0.181337111,0.915660558,0.356715258,0.936452954,0,0
"credco","20-Sep",114021.231018681,26.3477788182083,8.11203220065149,11.2276229738861,0.057867226,0.106233862,0.16632329,0.614335454,0.279430684,0.921917032,0.387850762,0.936743709,0,0
"credco","20-Oct",81736.2616797296,27.2666291603336,8.61619643138517,9.85552725000828,0.04597714,0.094744832,0.14192749,0.690114748,0.215140421,0.904920302,0.364535429,0.910534893,0,0
"credco","20-Nov",79711.6797394743,28.1739906368537,8.07092248752252,11.276549853749,0.05039437,0.096030322,0.151572758,0.700609267,0.203360412,0.887332924,0.363505408,0.91092429,0,0
"credco","20-Dec",99432.014360921,29.1600359392535,9.06568683405841,11.5446407042502,0.048810543,0.10255952,0.161199898,0.759935659,0.137504821,0.915877301,0.372837671,0.907750049,0,0
"credco","21-Jan",82102.272426038,29.0150853617886,8.34852585101333,9.83227013435391,0.03992823,0.095954108,0.160749033,0.77234591,0.131699982,0.916946754,0.382274898,0.901417705,0,0
"credco","21-Feb",57167.4572009481,26.9688839671355,8.3334053383581,12.354493332967,0.042409951,0.09556763,0.151937667,0.774229376,0.130202994,0.878477206,0.374718064,0.904295674,0,0
"credco","21-Mar",52433.8681607016,28.4412839850062,10.5453610781021,11.9258248905379,0.044684315,0.097228085,0.138153531,0.737843977,0.164927938,0.893485296,0.406621239,0.897646184,0,0
"credco","21-Apr",57615.4759424552,29.1667795048071,9.47351383772774,10.8225516116832,0.052947504,0.103847889,0.145189272,0.745532771,0.15061934,0.921237986,0.420145033,0.899465667,0,0
"credco","21-May",68819.3446003061,29.3146671099595,7.86972575406446,11.9117958438341,0.049083383,0.098636825,0.152178198,0.756114573,0.145248601,0.924244492,0.397458642,0.907185856,0,0
"credco","21-Jun",62582.4667130313,24.643105964518,8.3143319191854,10.4822159752273,0.046422241,0.096688137,0.168752304,0.764378609,0.138933254,0.925390947,0.390210085,0.904487776,0,0
